word,valence_condition,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP,freq_BNC_strat,valence_strat,arousal_strat,set,iter,valence_abs
humorous,+,8,3,16,4.425574,-99,8.41055,1.470588,0,1,-99,-99,-99,-99,-99,-99,-99,6.33,2.08,4.47,3.86,6.17,5.22,2.91,6.38,6.52,4.29,-99,-99,-99,1,2,1,2,15,2.33
dignified,+,9,3,7,4.375624,1.334986,13.7309,2.686275,0,1,-99,-99,-99,-99,-99,-99,-99,5.75,2.78,6.26,4.46,6.65,3.51,3.13,5.94,6.59,5.06,-99,-99,-99,1,1,2,2,15,1.75
courageous,+,10,3,4,3.756244,3.594192,6.26657,3.156863,0,1,-99,-99,-99,-99,-99,-99,-99,6.34,2.74,5.98,5.24,6.96,5.53,4.67,6.26,6.65,5.69,-99,-99,-99,1,2,2,2,15,2.34
knowledgeable,+,13,4,2,3.366633,-99,-99,0.784314,0,1,-99,-99,-99,-99,-99,-99,-99,6.32,2.37,4.68,4.69,5.96,4.67,3.23,6.45,6.94,5.53,-99,-99,-99,1,2,1,2,15,2.32
perceptive,+,10,3,3,2.717283,2.704201,-99,1.980392,0,1,-99,-99,-99,-99,-99,-99,-99,5.27,2.27,3.44,4.02,6.4,3.55,2.47,5.6,6.05,4.7,-99,-99,-99,1,1,1,2,15,1.27
courteous,+,9,3,6,2.687313,-99,9.86623,1.215686,0,1,-99,-99,-99,-99,-99,-99,-99,6.62,2.87,5.12,4.46,6.73,3.62,3.35,6.81,6.01,5.64,-99,-99,-99,1,2,2,2,15,2.62
attentive,+,9,3,5,2.547453,1.369216,9.37652,1.294118,0,1,-99,-99,-99,-99,-99,-99,-99,5.9,4.2,4.12,4.04,6.93,4.15,2.76,5.84,5.9,5.26,-99,-99,-99,1,1,2,2,15,1.9
adaptable,+,9,4,2,2.367632,-99,-99,0.333333,0,1,-99,-99,-99,-99,-99,-99,-99,5.81,2.71,4.8,5.08,6.56,3.64,2.71,5.63,6.01,5.93,-99,-99,-99,1,1,1,2,15,1.81
joyful,+,6,2,1,2.257742,-99,9.96196,1.490196,0,1,-99,-99,-99,-99,-99,-99,-99,5.95,3.19,5.99,4.77,6.19,5.23,5.18,5.77,5.84,5.15,-99,-99,-99,1,2,2,2,15,1.95
considerate,+,11,4,4,2.157842,3.833805,4.40266,3.431373,0,1,-99,-99,-99,-99,-99,-99,-99,6.21,1.85,4.82,4.44,6.78,3.9,4,6.22,6.4,3.54,-99,-99,-99,1,2,1,2,15,2.21
truthful,+,8,2,1,2.107892,2.088054,4.62813,2.137255,0,1,-99,-99,-99,-99,-99,-99,-99,5.77,2,4.68,5.44,6.03,4.95,4.2,6.27,6.83,5.74,-99,-99,-99,1,1,1,2,15,1.77
fearless,+,8,2,7,1.578422,2.909584,6.45328,2.980392,0,1,-99,-99,-99,-99,-99,-99,-99,5.36,4.03,5.59,2.92,6.85,5.07,4.85,5.43,5.84,4.83,-99,-99,-99,1,1,2,2,15,1.36
forgiving,+,9,3,2,1.558442,5.339942,-99,2.490196,0,1,-99,-99,-99,-99,-99,-99,-99,6.18,2.09,4.54,4.4,6.44,3.99,5.43,6.54,6.59,6.54,-99,-99,-99,1,2,1,2,15,2.18
trustworthy,+,11,3,3,1.528472,2.806893,4.48968,1.843137,0,1,-99,-99,-99,-99,-99,-99,-99,6.56,2.46,5.32,4.18,6.81,4.54,4.4,6.85,6.94,5.44,-99,-99,-99,1,2,2,2,15,2.56
artistic,+,8,3,33,15.664336,2.772662,16.7214,4.921569,0,1,-99,-99,-99,-99,-99,-99,-99,5.8,2.47,6.38,3.14,5.91,4.45,3.45,5.27,5.56,3.45,-99,-99,-99,2,2,1,2,15,1.8
glorious,+,8,3,16,10.939061,6.811849,39.7742,9.294118,0,1,-99,-99,-99,-99,-99,-99,-99,5.47,2.09,6.51,4.63,6.73,5.23,5.19,5.06,5.01,4.44,-99,-99,-99,2,1,1,2,15,1.47
daring,+,6,2,12,7.142857,2.361897,22.1984,4.196078,0,1,-99,-99,-99,-99,-99,-99,-99,5.07,4.7,6.3,3.92,7,4.24,4.78,5.28,5.77,4.76,-99,-99,-99,2,1,2,2,15,1.07
terrible,-,8,3,45,46.713287,99.74738,83.4219,94.019608,0,1,-99,-99,-99,-99,-99,-99,-99,1.98,5.12,5.43,4.37,5.83,6.1,5.5,2.24,1.39,3.68,-99,-99,-99,3,2,2,2,15,2.02
guilty,-,6,2,29,42.287712,70.925385,38.8367,62.294118,0,1,-99,-99,-99,-99,-99,-99,-99,1.69,4.88,5.86,5.63,6.38,5.65,4.67,1.77,1.08,3.55,-99,-99,-99,3,1,1,2,15,2.31
sad,-,3,1,35,34.355644,62.710089,67.5961,63.372549,0,1,-99,-99,-99,-99,-99,-99,-99,1.78,5.02,6.76,4.23,5.97,6.35,5.93,2.27,1.1,3.18,-99,-99,-99,3,1,1,2,15,2.22
controlling,-,11,3,23,19.55045,7.085692,4.80376,4.431373,0,1,-99,-99,-99,-99,-99,-99,-99,1.81,5.21,6.3,5.25,6.44,4.46,4.55,1.35,1.66,6.05,-99,-99,-99,3,1,2,2,15,2.19
unhappy,-,7,3,26,19.100899,13.76062,39.6603,16.529412,0,1,-99,-99,-99,-99,-99,-99,-99,1.89,3.85,5.28,3.74,6.87,6.05,5.07,1.63,1.56,4.25,-99,-99,-99,3,2,1,2,15,2.11
dull,-,4,1,28,18.221778,9.344899,45.2813,12.078431,0,1,-99,-99,-99,-99,-99,-99,-99,2.22,3,4.41,4.37,6.74,3.95,2.58,1.53,1.37,3.71,-99,-99,-99,3,2,1,2,15,1.78
boring,-,6,2,5,17.162837,31.046971,2.26897,27.411765,0,1,-99,-99,-99,-99,-99,-99,-99,2.07,3.74,5.37,4.92,6.34,5.81,3.45,2.52,2.16,3.76,-99,-99,-99,3,2,1,2,15,1.93
hostile,-,7,2,19,16.423576,8.181065,21.6319,8.941176,0,1,-99,-99,-99,-99,-99,-99,-99,1.54,5.59,5.61,4.96,6.82,4.86,4.11,1.06,1.29,3.62,-99,-99,-99,3,1,2,2,15,2.46
harsh,-,5,1,12,15.404595,9.584511,16.8013,7.098039,0,1,-99,-99,-99,-99,-99,-99,-99,1.53,5.89,4.78,3.7,6.5,4.44,4.45,1.64,1.66,4.01,-99,-99,-99,3,1,2,2,15,2.47
dreadful,-,8,2,10,14.455544,4.518413,42.8019,8,0,1,-99,-99,-99,-99,-99,-99,-99,1.65,4.92,5.62,4.58,5.85,3.31,3.67,1.6,1.51,2.16,-99,-99,-99,3,1,1,2,15,2.35
cruel,-,5,2,15,13.866134,20.504008,48.8391,18.352941,0,1,-99,-99,-99,-99,-99,-99,-99,1.46,6.22,5.29,3.88,6.54,4.82,5.36,1.37,1.09,4.7,-99,-99,-99,3,1,2,2,15,2.54
wicked,-,6,2,9,10.949051,11.296031,42.0179,13.294118,0,1,-99,-99,-99,-99,-99,-99,-99,1.86,4.93,5.76,3.52,6.44,1.88,3.81,1.53,1.75,4.12,-99,-99,-99,3,1,1,2,15,2.14
rude,-,4,1,6,9.84016,24.200891,29.9871,22.058824,0,1,-99,-99,-99,-99,-99,-99,-99,1.78,3.86,4.85,5.38,6.76,4.54,3.91,1.46,1.27,4.18,-99,-99,-99,3,1,1,2,15,2.22
rotten,-,6,2,2,8.061938,13.486777,8.50786,17.470588,0,1,-99,-99,-99,-99,-99,-99,-99,2.1,4.52,4.69,3.4,7,3.22,3.49,2.02,1.56,3.69,-99,-99,-99,2,2,1,2,15,1.9
ignorant,-,8,3,12,7.452547,3.251888,38.3217,6.254902,0,1,-99,-99,-99,-99,-99,-99,-99,2.08,5.2,5.94,4.99,6.66,5.15,2.7,1.31,1.49,3.92,-99,-99,-99,2,1,2,2,15,1.92
selfish,-,7,2,8,6.923077,26.220485,19.3163,15.901961,0,1,-99,-99,-99,-99,-99,-99,-99,1.7,4.99,6.11,4.35,6.9,5.61,4.94,1.22,1.39,5.47,-99,-99,-99,2,1,2,2,15,2.3
gloomy,-,6,2,3,6.763237,1.471907,25.8257,2.411765,0,1,-99,-99,-99,-99,-99,-99,-99,2.13,4.72,6.02,4.19,5.95,4.26,5.3,1.9,1.67,2.52,-99,-99,-99,2,2,1,2,15,1.87
ruthless,-,8,2,7,6.493506,4.518413,3.7033,4.137255,0,1,-99,-99,-99,-99,-99,-99,-99,1.91,5.77,5.34,4.96,5.12,2.93,3.84,2.08,2.37,4.4,-99,-99,-99,2,1,2,2,15,2.09
inefficient,-,11,4,7,5.794206,-99,1.65821,0.411765,0,1,-99,-99,-99,-99,-99,-99,-99,1.65,4.31,4.67,4.44,6.28,4.31,2.46,1.92,1.21,2.41,-99,-99,-99,2,1,1,2,15,2.35
careless,-,8,2,8,5.774226,4.107648,20.4951,4.921569,0,1,-99,-99,-99,-99,-99,-99,-99,1.97,3.55,5.07,3.86,6.17,5.19,3.55,2.37,2.79,3.56,-99,-99,-99,2,1,1,2,15,2.03
reckless,-,8,2,9,5.654346,5.511094,12.0869,4.921569,0,1,-99,-99,-99,-99,-99,-99,-99,1.91,4.79,5.05,4.37,6.26,5.1,3.69,2.03,1.72,2.49,-99,-99,-99,2,1,1,2,15,2.09
irrational,-,10,3,8,5.114885,4.689565,2.70251,2.921569,0,1,-99,-99,-99,-99,-99,-99,-99,2.09,5.68,4.19,4,6.39,4.17,4.37,1.4,1.3,2.44,-99,-99,-99,2,2,2,2,15,1.91
discouraged,-,11,3,15,4.925075,1.608829,7.67796,1.588235,0,1,-99,-99,-99,-99,-99,-99,-99,2.03,4.65,4.59,4.21,6.18,4.22,4.95,2.44,1.58,3.77,-99,-99,-99,2,1,1,2,15,1.97
annoying,-,8,3,6,4.555445,14.376767,4.07908,11.117647,0,1,-99,-99,-99,-99,-99,-99,-99,1.67,5.64,5.49,4.37,6.55,4.32,4.01,1.24,1.1,4.01,-99,-99,-99,2,1,2,2,15,2.33
irresponsible,-,13,4,9,4.295704,6.127241,-99,4.647059,0,1,-99,-99,-99,-99,-99,-99,-99,2.26,4.24,4.32,4.56,6.37,4.38,4.15,2.2,2.54,3.04,-99,-99,-99,2,2,1,2,15,1.74
dishonest,-,9,3,2,3.586414,2.635741,3.99522,2.588235,0,1,-99,-99,-99,-99,-99,-99,-99,1.41,4.86,5.01,4.71,7,5.4,4.9,1.15,1.25,5.16,-99,-99,-99,2,1,1,2,15,2.59
self-conscious,-,14,3,-99,2.787213,-99,2.03084,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.13,5.29,6.01,3.67,5.45,4.02,4.3,2.62,1.67,3.16,-99,-99,-99,1,2,2,2,15,1.87
dreary,-,6,2,6,2.717283,1.300755,14.6446,1.803922,0,1,-99,-99,-99,-99,-99,-99,-99,1.9,3.89,4.69,3.79,6.76,2.86,3.62,1.69,1.8,2.23,-99,-99,-99,1,1,1,2,15,2.1
pompous,-,7,2,3,2.687313,2.464589,4.03557,2.392157,0,1,-99,-99,-99,-99,-99,-99,-99,1.9,5.14,5.11,4.38,5.88,3.33,3.88,1.5,1.31,4.69,-99,-99,-99,1,1,2,2,15,2.1
unproductive,-,12,4,1,2.277722,-99,-99,0.27451,0,1,-99,-99,-99,-99,-99,-99,-99,1.58,5.58,5.78,5.79,6.91,4.86,3.4,1.49,1.49,2.44,-99,-99,-99,1,1,2,2,15,2.42
sloppy,-,6,2,3,2.127872,4.552643,-99,5.882353,0,1,-99,-99,-99,-99,-99,-99,-99,1.78,4.1,6.34,3.42,6.63,4.39,3.78,2.15,1.77,4.45,-99,-99,-99,1,1,1,2,15,2.22
unfriendly,-,10,3,6,1.938062,-99,3.13843,1.039216,0,1,-99,-99,-99,-99,-99,-99,-99,1.5,4.89,5.62,5.23,7,5.65,2.97,1.41,1.13,2.91,-99,-99,-99,1,1,1,2,15,2.5
unruly,-,6,3,2,1.888112,-99,2.46992,0.705882,0,1,-99,-99,-99,-99,-99,-99,-99,1.97,4.34,4.5,4.18,5.15,3.02,3.47,3.27,2.45,2.72,-99,-99,-99,1,1,1,2,15,2.03
envious,-,7,3,1,1.838162,1.334986,5.30297,1.254902,0,1,-99,-99,-99,-99,-99,-99,-99,2.03,6.02,5.32,4.68,6.44,3.37,5.92,1.45,1.4,2.95,-99,-99,-99,1,1,2,2,15,1.97
cowardly,-,8,3,3,1.458541,1.643059,7.61941,2.313725,0,1,-99,-99,-99,-99,-99,-99,-99,2.14,4.75,4.85,4.66,6.54,4.8,4.17,2.71,1.18,3.02,-99,-99,-99,1,2,2,2,15,1.86
obnoxious,-,9,3,5,1.438561,5.20302,3.3995,3.509804,0,1,-99,-99,-99,-99,-99,-99,-99,1.49,5.3,6.18,4.97,6.78,5.7,4.13,1.45,1.19,3.87,-99,-99,-99,1,1,2,2,15,2.51
intolerant,-,10,4,1,1.308691,-99,1.66375,0.862745,0,1,-99,-99,-99,-99,-99,-99,-99,1.87,5.69,4.88,4.06,6.27,4.42,4.19,1.45,1.09,3.45,-99,-99,-99,1,1,2,2,15,2.13
grumpy,-,6,2,-99,1.308691,2.464589,-99,2.352941,0,1,-99,-99,-99,-99,-99,-99,-99,2.12,4.61,6.26,5.42,6.96,4.54,5.33,2.19,1.53,3.55,-99,-99,-99,1,2,1,2,15,1.88
bossy,-,5,2,-99,1.168831,2.224976,-99,1.745098,0,1,-99,-99,-99,-99,-99,-99,-99,2.19,5.22,5.73,4.61,6.88,5.27,4.72,1.65,1.64,5.88,-99,-99,-99,1,2,2,2,15,1.81
lethargic,-,9,3,-99,1.108891,-99,-99,0.313725,0,1,-99,-99,-99,-99,-99,-99,-99,2.19,3.06,5.47,4.03,5.68,2.51,2.52,2.14,1.77,3.3,-99,-99,-99,1,2,1,2,15,1.81
bad,-,3,1,143,154.475524,603.687298,152.889,545.176471,0,1,-99,-99,-99,-99,-99,-99,-99,1.73,5.26,5.88,3.73,6.62,6.33,3.95,1.38,1.36,3.68,-99,-99,-99,3,1,2,2,15,2.27
moody,-,5,2,5,3.556444,2.875353,2.8465,2.254902,0,1,-99,-99,-99,-99,-99,-99,-99,2.25,5.53,4.95,5.36,6.79,5.19,5.6,1.87,1.28,2.72,-99,-99,-99,2,2,2,2,15,1.75
wasteful,-,8,2,7,2.867133,-99,1.84571,0.588235,0,1,-99,-99,-99,-99,-99,-99,-99,1.77,5.04,5.78,4.83,6.59,4.81,4.63,2.35,1.4,3.2,-99,-99,-99,2,1,2,2,15,2.23
stupid,-,6,2,24,32.897103,206.066996,22.9927,184.411765,0,1,-99,-99,-99,-99,-99,-99,-99,2.08,4.95,4.74,3.17,6.89,6.19,4.3,2.02,1.02,3.28,-99,-99,-99,3,2,1,2,15,1.92
good-natured,+,12,3,-99,1.338661,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,6.52,2.37,3.97,4.49,6.7,4,4.8,6.64,6.63,5.75,-99,-99,-99,1,2,1,2,15,2.52
proficient,+,10,3,5,1.288711,-99,-99,0.568627,0,1,-99,-99,-99,-99,-99,-99,-99,5.53,3.43,4.28,4.81,6.51,3.77,3.56,5.34,6.17,4.76,-99,-99,-99,1,1,2,2,15,1.53
self-disciplined,+,15,4,-99,1.208791,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.48,3.53,5.97,5.8,7,3.75,3.46,5.89,5.83,6.14,-99,-99,-99,1,1,2,2,15,1.48
comical,+,7,3,-99,1.398601,-99,-99,0.823529,0,1,-99,-99,-99,-99,-99,-99,-99,5.42,2.66,5.93,4.84,6.63,5.31,3.53,6.54,6.59,3.9,-99,-99,-99,1,1,1,2,15,1.42
dependable,+,10,4,8,1.358641,1.71152,-99,1.666667,0,1,-99,-99,-99,-99,-99,-99,-99,5.36,1.74,5.5,4.32,6.5,4.5,4.11,6.66,6.43,5.29,-99,-99,-99,1,1,1,2,15,1.36
hesitant,-,8,3,3,2.827173,-99,-99,0.411765,0,1,-99,-99,-99,-99,-99,-99,-99,2.91,4.73,5.75,4.99,6.71,5.6,2.84,3.07,2.87,3.07,-99,-99,-99,2,2,2,2,15,1.09
stubborn,-,8,2,12,4.285714,13.007551,7.67321,10.862745,0,1,-99,-99,-99,-99,-99,-99,-99,2.71,5.07,5.62,4.48,6.2,5.5,4.76,2.91,2.08,4.31,-99,-99,-99,2,2,2,2,15,1.29
defensive,-,9,3,17,12.867133,6.674928,6.40819,5.45098,0,1,-99,-99,-99,-99,-99,-99,-99,2.7,5.86,6.07,5.41,6.65,5.54,5.24,2.2,2.33,4.21,-99,-99,-99,3,2,2,2,15,1.3
combative,-,9,3,-99,1.108891,-99,-99,0.529412,0,1,-99,-99,-99,-99,-99,-99,-99,2.6,5.21,5.44,4.4,5.11,1.79,3.12,2.13,2.42,4.22,-99,-99,-99,1,2,2,2,15,1.4
suspicious,-,10,3,13,13.786214,20.949004,14.2617,15.980392,0,1,-99,-99,-99,-99,-99,-99,-99,2.58,5.09,5.23,3.79,6.32,4.6,3.21,1.68,1.25,3.31,-99,-99,-99,3,2,2,2,15,1.42
mediocre,-,8,4,5,1.768232,1.74575,-99,1.392157,0,1,-99,-99,-99,-99,-99,-99,-99,2.57,3.87,4.5,3.7,7,3.25,4.3,3.26,1.45,2.99,-99,-99,-99,1,2,1,2,15,1.43
indecisive,-,10,4,2,0.969031,-99,-99,0.529412,0,1,-99,-99,-99,-99,-99,-99,-99,2.49,4.39,4.81,4.87,5.77,4.21,2.93,2.29,1.32,4.14,-99,-99,-99,1,2,1,2,15,1.51
childish,-,8,2,11,4.725275,4.176109,14.6747,4.901961,0,1,-99,-99,-99,-99,-99,-99,-99,2.48,4.29,6.18,3.53,6.81,5.82,3.95,3.07,2.4,2.32,-99,-99,-99,2,2,1,2,15,1.52
brooding,-,8,2,14,3.136863,1.369216,7.03872,0.960784,0,1,-99,-99,-99,-99,-99,-99,-99,2.46,5.06,3.8,3.75,5.34,2.49,4.63,2.08,1.73,3.56,-99,-99,-99,2,2,2,2,15,1.54
fickle,-,6,2,1,1.278721,-99,3.16532,1.176471,0,1,-99,-99,-99,-99,-99,-99,-99,2.46,3.76,4.35,2.89,4.86,2.91,3.43,2.54,2.37,3.33,-99,-99,-99,1,2,1,2,15,1.54
unreasonable,-,12,4,3,9.89011,3.491501,8.49203,3.803922,0,1,-99,-99,-99,-99,-99,-99,-99,2.42,4.75,4.15,3.28,6.36,4.18,3.32,1.55,1.26,2.84,-99,-99,-99,3,2,1,2,15,1.58
demanding,-,9,3,19,24.245754,5.921859,7.00312,4.254902,0,1,-99,-99,-99,-99,-99,-99,-99,2.37,5.74,6.1,5.15,6.83,5.53,4.46,2.38,2.6,5.4,-99,-99,-99,3,2,2,2,15,1.63
devious,-,7,3,1,3.196803,2.60151,1.58622,1.745098,0,1,-99,-99,-99,-99,-99,-99,-99,2.35,4.44,5.22,4.2,6.52,4.01,4.16,1.67,1.92,2.86,-99,-99,-99,2,2,1,2,15,1.65
awkward,-,7,2,11,15.754246,17.731346,15.0869,14.313725,0,1,-99,-99,-99,-99,-99,-99,-99,2.29,4.98,6.12,4.53,6.24,5.09,4.33,2.39,1.42,3.52,-99,-99,-99,3,2,2,2,15,1.71
disdainful,-,10,3,2,0.809191,-99,2.44144,0.058824,0,1,-99,-99,-99,-99,-99,-99,-99,2.29,4.7,2.99,3.19,5.19,2.26,3.76,2.54,2.09,3.7,-99,-99,-99,1,2,2,2,15,1.71
insincere,-,9,3,1,0.679321,-99,-99,0.313725,0,1,-99,-99,-99,-99,-99,-99,-99,1.74,4.94,4.35,4.5,6.24,4.95,5.47,1.32,1.21,3.82,-99,-99,-99,1,1,1,2,15,2.26
